@relation 'jobdata_p2final-weka.filters.unsupervised.attribute.NumericToNominal-R3,4-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R3'

@attribute salary numeric
@attribute workmonth numeric

@data
6000,12
2000,0
3000,0
4500,12
10000,24
8000,36
4500,12
1500,24
4500,0
6000,0
1500,0
15000,0
10000,24
1500,36
1500,0
1500,24
8000,0
6000,0
1500,36
8000,0
1500,12
2000,12
4500,12
1500,24
1500,24
2000,0
1500,24
2000,12
10000,36
1500,0
6000,24
1500,12
6000,0
10000,36
4500,0
1500,0
6000,12
10000,24
10000,0
2000,12
3000,24
8000,120
1500,36
2000,12
3000,0
4500,12
10000,36
3000,24
1500,0
10000,36
10000,12
4500,24
4500,24
10000,0
15000,60
10000,36
10000,0
10000,0
3000,0
1500,36
8000,36
1500,12
3000,0
15000,0
1500,0
10000,24
10000,12
8000,24
6000,0
6000,12
1500,12
3000,0
10000,24
4500,36
4500,0
4500,24
2000,0
1500,12
15000,24
15000,12
10000,24
1500,24
10000,0
4500,36
4500,12
4500,0
8000,24
10000,0
15000,12
1500,24
1500,12
4500,0
10000,12
15000,36
15000,36
4500,12
1500,24
8000,36
1500,12
15000,0
4500,24
10000,12
15000,0
15000,0
1500,36
10000,36
4500,12
10000,0
8000,0
15000,36
6000,0
3000,0
4500,0
10000,36
1500,0
4500,0
4500,12
10000,36
10000,0
15000,0
8000,24
8000,36
4500,0
10000,36
8000,36
4500,0
10000,0
6000,0
10000,0
1500,0
4500,0
15000,96
1500,24
10000,0
1500,24
6000,36
10000,12
8000,24
1500,60
3000,12
4500,0
15000,36
2000,0
6000,0
4500,12
2000,24
15000,36
1500,24
4500,12
1500,12
2000,0
1500,12
6000,0
2000,0
10000,0
1500,0
6000,36
4500,36
1500,12
4500,0
1500,24
1500,24
3000,0
1500,24
4500,12
1500,36
6000,36
1500,24
1500,0
4500,0
1500,24
10000,12
8000,36
2000,12
1500,12
3000,24
8000,12
6000,12
1500,36
4500,0
3000,12
2000,0
4500,12
4500,0
6000,0
4500,12
6000,12
1500,0
4500,12
1500,24
6000,36
1500,36
2000,0
3000,0
4500,0
10000,24
1500,60
2000,0
15000,36
3000,24
1500,120
1500,12
8000,36
4500,36
10000,36
8000,0
6000,24
4500,0
4500,0
6000,12
1500,0
4500,36
10000,24
8000,36
4500,12
1500,12
2000,0
6000,24
6000,0
3000,0
10000,24
1500,36
3000,12
8000,12
10000,36
1500,36
8000,24
6000,36
1500,24
3000,36
15000,60
8000,36
6000,0
4500,12
6000,36
4500,0
4500,0
1500,0
3000,12
6000,24
1500,24
1500,0
3000,0
8000,0
4500,12
8000,36
10000,36
10000,36
1500,36
1500,24
1500,12
1500,36
1500,12
6000,12
6000,12
15000,60
8000,36
6000,12
1500,12
4500,12
6000,0
1500,0
6000,24
1500,12
6000,12
1500,12
10000,24
6000,24
4500,36
3000,0
8000,12
2000,0
6000,12
3000,0
10000,0
10000,36
1500,36
10000,24
10000,24
1500,0
15000,36
15000,36
1500,12
1500,0
4500,0
3000,12
1500,0
8000,12
3000,24
8000,36
2000,12
3000,24
1500,24
2000,12
10000,12
1500,36
1500,36
2000,0
15000,36
4500,12
10000,36
1500,0
6000,0
4500,12
1500,36
8000,12
1500,12
4500,0
6000,0
3000,24
15000,96
1500,0
15000,36
6000,12
4500,36
8000,24
15000,0
10000,36
3000,0
1500,12
1500,0
15000,60
8000,24
6000,12
8000,0
2000,0
6000,0
1500,0
10000,36
4500,12
1500,12
15000,60
8000,0
10000,24
4500,0
15000,36
8000,60
1500,0
4500,12
8000,0
15000,24
1500,36
3000,0
6000,12
4500,0
4500,12
10000,24
3000,0
3000,0
10000,24
6000,60
8000,24
10000,0
4500,12
1500,24
15000,0
6000,12
4500,0
3000,12
8000,0
3000,0
2000,12
1500,0
1500,0
4500,0
8000,36
10000,36
2000,0
1500,0
10000,0
10000,24
1500,12
1500,0
1500,36
4500,12
4500,12
1500,12
10000,36
10000,0
10000,36
2000,0
1500,24
4500,12
10000,36
1500,0
10000,24
4500,12
3000,0
2000,12
8000,12
6000,12
1500,0
15000,0
4500,0
2000,12
8000,24
15000,36
6000,24
8000,12
10000,24
3000,0
2000,0
6000,12
2000,12
1500,0
10000,24
1500,0
6000,36
10000,36
6000,0
1500,0
2000,24
10000,0
1500,12
8000,12
8000,12
8000,0
2000,0
2000,0
6000,0
4500,0
1500,0
2000,0
4500,0
8000,0
8000,0
10000,0
4500,0
1500,24
10000,36
10000,24
1500,24
1500,12
10000,36
1500,24
4500,12
4500,0
15000,60
1500,0
10000,60
10000,0
4500,36
1500,12
6000,12
10000,36
8000,0
10000,36
10000,12
3000,24
8000,36
4500,12
10000,0
6000,24
15000,0
6000,12
15000,36
4500,0
8000,12
6000,24
10000,0
10000,0
3000,0
6000,12
6000,24
6000,12
4500,60
8000,12
8000,12
4500,0
6000,12
8000,24
10000,24
8000,24
3000,12
10000,24
2000,12
8000,36
2000,0
4500,12
6000,12
8000,0
2000,0
2000,0
4500,12
1500,24
1500,0
4500,0
10000,60
6000,36
4500,36
1500,24
10000,24
8000,12
1500,12
8000,12
1500,12
1500,0
8000,0
6000,0
10000,60
2000,0
10000,24
4500,24
6000,12
4500,24
8000,0
1500,36
6000,24
6000,36
4500,24
1500,0
6000,12
6000,24
1500,0
10000,36
10000,12
4500,0
6000,24
4500,36
4500,0
4500,12
1500,12
8000,36
10000,12
4500,12
6000,24
6000,24
1500,24
4500,24
1500,60
10000,0
4500,12
10000,0
6000,36
10000,36
1500,24
1500,24
4500,36
6000,12
4500,0
10000,0
10000,0
10000,36
1500,0
4500,12
6000,0
4500,0
8000,0
15000,36
6000,24
15000,60
2000,36
8000,0
6000,0
6000,0
8000,0
3000,0
6000,0
3000,0
6000,0
3000,0
3000,0
3000,0
3000,0
8000,0
10000,0
6000,0
8000,0
10000,0
10000,0
8000,0
8000,24
8000,24
4500,36
4500,36
15000,24
15000,36
10000,24
2000,36
2000,36
15000,36
15000,36
10000,36
4500,0
4500,12
4500,12
4500,36
8000,0
2000,36
4500,0
4500,0
8000,36
6000,36
10000,36
10000,0
6000,36
4500,36
10000,36
4500,36
6000,36
8000,36
4500,36
4500,0
2000,0
3000,0
4500,12
4500,12
4500,12
3000,0
8000,0
2000,0
2000,0
6000,24
4500,0
10000,0
1500,12
1500,0
1500,12
3000,0
1500,12
6000,24
1500,24
2000,0
1500,0
1500,0
10000,0
4500,0
4500,0
15000,36
10000,36
1500,24
10000,0
1500,60
6000,24
1500,36
6000,12
6000,12
1500,60
3000,12
10000,60
15000,0
15000,24
4500,0
1500,0
10000,12
4500,12
1500,36
1500,12
10000,0
8000,60
1500,0
3000,0
15000,0
6000,0
1500,12
4500,0
6000,0
1500,24
1500,36
4500,0
6000,36
1500,24
1500,36
6000,24
6000,24
6000,0
8000,36
4500,0
1500,24
1500,36
2000,0
1500,0
6000,0
1500,60
10000,24
4500,0
15000,0
15000,60
4500,12
6000,0
8000,12
8000,12
1500,60
15000,60
6000,0
4500,0
15000,36
1500,0
15000,24
2000,12
1500,12
6000,12
8000,0
1500,0
15000,36
8000,36
8000,36
10000,36
2000,0
6000,12
2000,12
2000,0
6000,24
4500,24
8000,24
15000,60
4500,12
6000,36
6000,0
1500,0
8000,24
8000,36
10000,12
8000,36
6000,24
4500,24
4500,24
4500,24
3000,12
1500,24
6000,36
1500,0
4500,24
3000,0
8000,0
1500,0
1500,60
10000,12
1500,12
1500,60
4500,24
1500,36
3000,24
4500,12
1500,36
3000,24
3000,12
1500,12
3000,0
3000,12
6000,0
15000,0
1500,12
15000,0
2000,0
4500,24
4500,0
1500,0
10000,0
10000,24
1500,36
10000,24
6000,0
1500,24
8000,24
8000,12
3000,0
8000,12
3000,0
1500,24
10000,60
4500,12
1500,24
4500,0
10000,24
10000,24
1500,12
1500,24
6000,12
1500,12
4500,0
6000,12
4500,0
4500,0
10000,0
8000,12
1500,24
3000,12
10000,36
8000,24
1500,12
8000,0
8000,24
10000,24
10000,12
1500,12
10000,96
1500,0
1500,0
10000,24
8000,24
8000,0
4500,0
10000,24
6000,0
15000,0
15000,24
1500,0
1500,24
4500,24
8000,24
6000,24
3000,12
15000,24
3000,12
10000,36
6000,0
10000,24
8000,12
1500,24
8000,36
3000,0
4500,12
15000,24
10000,24
6000,0
4500,24
4500,36
3000,24
2000,0
8000,0
8000,0
6000,24
6000,12
4500,0
1500,0
6000,0
3000,12
6000,0
6000,12
10000,24
6000,24
4500,24
10000,36
2000,24
4500,24
10000,36
15000,36
4500,0
8000,60
10000,0
3000,12
3000,36
10000,36
6000,24
1500,12
8000,36
8000,12
8000,0
1500,0
1500,24
2000,36
1500,36
10000,24
1500,0
2000,0
4500,12
1500,0
1500,0
4500,36
3000,12
10000,24
3000,12
1500,36
4500,0
3000,12
1500,0
6000,0
4500,12
6000,24
3000,12
6000,12
1500,12
1500,12
15000,24
4500,12
15000,36
6000,0
4500,0
6000,60
6000,24
3000,0
6000,0
8000,60
6000,36
8000,24
8000,0
10000,36
15000,36
6000,0
10000,60
4500,12
2000,12
15000,0
10000,36
8000,36
6000,12
4500,36
1500,60
8000,12
1500,0
1500,0
6000,12
10000,12
10000,12
2000,12
15000,0
4500,0
1500,0
4500,24
8000,36
6000,0
10000,36
15000,36
4500,36
2000,12
8000,0
4500,0
6000,12
3000,12
4500,12
6000,0
3000,0
4500,0
4500,12
4500,0
1500,24
1500,24
8000,24
10000,0
4500,0
10000,12
4500,0
8000,24
4500,12
4500,0
4500,0
2000,12
4500,12
4500,0
10000,12
4500,0
10000,36
4500,0
4500,0
4500,0
4500,0
4500,0
6000,12
4500,0
4500,0
4500,0
4500,0
4500,0
4500,0
4500,0
4500,0
4500,0
4500,0
4500,0
4500,0
8000,0
4500,0
4500,12
4500,0
4500,0
6000,0
6000,0
8000,24
6000,60
4500,12
8000,0
4500,0
10000,96
15000,36
3000,0
2000,0
2000,0
2000,0
6000,0
2000,0
2000,0
2000,0
2000,0
1500,0
6000,0
8000,0
8000,0
3000,0
10000,12
6000,24
10000,0
6000,36
10000,0
1500,0
4500,36
8000,12
6000,0
1500,12
1500,12
8000,0
10000,36
6000,36
4500,36
15000,36
6000,12
1500,0
4500,24
2000,12
8000,0
4500,0
3000,24
4500,12
2000,0
4500,36
6000,36
8000,12
8000,0
10000,12
2000,12
4500,60
10000,12
10000,36
15000,60
6000,12
10000,12
1500,12
8000,0
6000,24
15000,36
6000,0
15000,36
8000,0
15000,60
8000,0
6000,0
15000,0
4500,24
8000,24
10000,0
15000,36
1500,36
15000,0
4500,12
1500,24
1500,12
2000,0
4500,24
10000,12
4500,12
4500,12
6000,12
8000,12
4500,36
4500,0
6000,36
10000,36
1500,24
1500,0
4500,12
6000,12
4500,36
8000,0
15000,36
4500,12
8000,0
6000,24
3000,24
8000,0
10000,0
2000,12
4500,12
1500,36
2000,12
6000,36
4500,36
8000,12
4500,60
3000,12
8000,36
4500,0
15000,12
1500,0
10000,36
4500,36
2000,0
4500,12
1500,24
6000,12
8000,0
6000,12
8000,0
1500,0
1500,0
2000,0
2000,12
1500,0
6000,0
15000,36
6000,36
8000,12
8000,0
3000,0
6000,12
2000,36
4500,24
8000,36
10000,12
10000,36
8000,36
2000,36
2000,36
10000,24
4500,36
2000,0
2000,36
10000,36
4500,24
10000,0
8000,12
4500,36
10000,0
8000,36
2000,12
10000,0
3000,0
3000,0
3000,0
3000,0
3000,0
3000,0
2000,0
2000,0
4500,0
2000,0
4500,24
6000,0
4500,0
15000,36
6000,24
15000,36
4500,36
15000,36
15000,36
10000,36
2000,0
10000,24
6000,0
6000,0
4500,36
6000,60
4500,12
6000,12
2000,12
6000,12
6000,36
2000,0
4500,12
2000,12
4500,0
2000,0
8000,12
4500,0
2000,12
4500,0
10000,36
10000,36
10000,36
10000,36
2000,0
2000,0
2000,0
2000,0
2000,12
1500,12
10000,36
6000,0
2000,0
6000,12
4500,0
6000,36
10000,0
2000,12
8000,0
10000,36
2000,0
8000,36
4500,12
4500,12
4500,12
8000,36
6000,12
2000,36
10000,0
6000,0
4500,12
10000,0
10000,0
2000,12
2000,12
2000,12
4500,0
10000,0
8000,0
4500,0
10000,0
4500,12
8000,36
15000,0
8000,12
4500,12
10000,36
2000,0
8000,36
2000,12
2000,12
2000,12
2000,12
2000,12
2000,0
2000,12
2000,12
15000,36
4500,12
4500,36
4500,12
4500,0
15000,0
4500,12
4500,12
8000,12
4500,0
4500,0
4500,0
10000,0
10000,0
4500,12
4500,12
8000,12
4500,0
2000,12
2000,0
6000,0
2000,0
4500,0
15000,36
15000,0
2000,12
6000,12
2000,0
4500,0
2000,0
2000,12
1500,0
8000,0
10000,36
10000,0
6000,0
6000,12
8000,0
8000,0
4500,12
4500,0
6000,36
8000,0
2000,0
4500,36
4500,12
2000,0
1500,0
2000,0
2000,0
4500,12
2000,12
2000,0
6000,36
6000,12
1500,0
2000,0
4500,12
6000,0
2000,0
6000,0
15000,12
15000,12
15000,12
4500,12
15000,12
6000,12
10000,36
6000,36
4500,12
15000,0
15000,36
10000,36
8000,0
8000,12
8000,12
8000,12
4500,0
4500,12
8000,0
1500,60
8000,24
1500,36
1500,24
1500,12
1500,0
1500,24
1500,24
3000,0
10000,0
1500,24
10000,0
1500,36
6000,0
10000,0
1500,24
3000,0
4500,12
10000,36
15000,36
10000,36
4500,36
8000,24
10000,60
4500,0
3000,0
1500,0
8000,24
10000,24
8000,24
10000,24
4500,0
6000,24
8000,0
10000,60
6000,24
1500,0
2000,0
4500,12
8000,36
10000,0
6000,24
1500,36
8000,24
6000,24
8000,24
6000,24
3000,24
10000,24
10000,24
8000,24
1500,24
3000,24
1500,0
1500,0
8000,12
8000,24
6000,24
8000,0
10000,36
10000,24
6000,12
6000,24
8000,24
8000,24
6000,36
6000,24
8000,0
10000,24
10000,0
4500,36
8000,24
3000,0
1500,36
2000,24
15000,36
8000,36
2000,0
8000,24
2000,12
1500,12
1500,24
3000,12
1500,0
1500,12
8000,12
8000,0
8000,0
1500,24
3000,0
3000,0
4500,0
1500,0
3000,12
2000,0
10000,0
1500,0
1500,0
10000,0
15000,0
6000,0
6000,0
6000,24
6000,0
2000,0
3000,24
10000,0
15000,36
3000,0
1500,24
1500,24
1500,60
6000,12
10000,0
4500,12
3000,24
1500,12
1500,24
1500,36
1500,36
3000,0
8000,36
1500,24
1500,0
6000,36
1500,12
3000,24
1500,36
8000,36
1500,0
1500,36
1500,24
1500,24
4500,12
1500,0
6000,0
1500,12
1500,0
8000,0
6000,36
8000,12
8000,36
2000,0
10000,36
1500,60
1500,0
6000,24
2000,0
1500,12
8000,0
6000,0
10000,24
6000,0
2000,0
1500,0
3000,24
1500,12
1500,24
15000,60
1500,60
1500,0
10000,36
10000,12
6000,24
1500,24
1500,0
6000,12
1500,36
3000,12
2000,12
3000,0
4500,24
1500,0
1500,24
1500,24
8000,0
6000,0
6000,0
6000,12
10000,0
1500,36
4500,12
1500,0
3000,12
1500,24
3000,24
8000,0
6000,0
1500,0
6000,12
3000,12
10000,36
3000,12
1500,0
1500,12
6000,12
1500,0
3000,0
1500,0
4500,36
3000,0
1500,24
1500,12
1500,24
10000,36
6000,0
1500,24
8000,24
15000,24
15000,36
1500,24
1500,12
1500,0
1500,0
4500,24
6000,24
8000,36
1500,24
10000,36
1500,0
1500,24
8000,36
8000,24
8000,24
1500,0
1500,24
1500,0
6000,12
1500,0
10000,0
4500,12
6000,24
15000,36
3000,0
4500,36
1500,60
4500,0
3000,36
4500,12
8000,12
1500,0
8000,24
1500,0
1500,0
1500,0
1500,0
10000,24
1500,0
1500,0
10000,60
4500,0
10000,0
1500,12
10000,0
6000,12
3000,36
3000,36
3000,36
1500,36
3000,36
6000,12
10000,24
10000,36
8000,0
1500,24
1500,0
6000,0
1500,0
1500,60
1500,36
3000,12
1500,0
1500,0
1500,0
1500,36
2000,12
1500,0
10000,60
1500,12
1500,24
1500,0
1500,36
3000,36
10000,24
10000,60
1500,0
1500,36
1500,0
15000,24
1500,36
10000,60
2000,12
3000,0
1500,36
10000,24
10000,36
10000,0
1500,0
1500,36
2000,0
10000,0
10000,36
1500,36
3000,0
10000,0
10000,0
10000,36
1500,0
1500,0
3000,0
4500,0
8000,0
1500,0
3000,0
8000,12
1500,36
6000,24
1500,0
3000,0
1500,36
1500,0
4500,24
1500,0
10000,36
8000,0
8000,0
2000,12
8000,36
3000,24
15000,36
1500,0
1500,0
3000,24
8000,0
1500,0
3000,0
6000,0
4500,12
8000,36
8000,0
4500,0
6000,60
1500,24
8000,0
4500,0
1500,0
15000,60
6000,24
1500,0
3000,0
4500,0
1500,0
4500,0
3000,0
1500,0
10000,0
4500,0
4500,12
4500,0
1500,24
10000,0
10000,12
1500,0
1500,12
4500,12
1500,24
3000,0
3000,12
4500,0
3000,0
3000,12
3000,0
10000,24
1500,0
6000,24
2000,0
1500,24
15000,0
15000,36
1500,24
1500,0
1500,0
1500,36
6000,0
1500,0
3000,0
8000,0
4500,24
3000,0
1500,24
1500,24
1500,0
6000,12
4500,0
3000,0
1500,12
4500,0
8000,24
1500,36
1500,60
3000,24
1500,12
6000,12
1500,24
1500,36
1500,0
1500,36
1500,12
1500,24
1500,0
1500,12
3000,12
1500,0
1500,36
1500,60
1500,36
8000,36
2000,12
6000,0
10000,0
8000,12
4500,12
10000,0
10000,12
1500,36
4500,24
15000,36
4500,0
4500,0
8000,24
1500,36
1500,24
10000,0
10000,36
10000,36
1500,24
1500,36
10000,24
6000,12
6000,12
1500,24
1500,24
10000,36
1500,0
3000,12
1500,24
1500,24
15000,36
1500,0
8000,36
10000,24
1500,24
3000,0
8000,36
3000,0
1500,0
1500,36
1500,0
4500,0
3000,0
1500,24
1500,120
1500,12
1500,0
10000,36
6000,12
1500,12
6000,36
3000,0
1500,36
3000,12
10000,12
10000,12
1500,12
10000,0
10000,36
1500,24
1500,12
4500,12
8000,0
6000,12
1500,0
1500,0
1500,0
8000,0
6000,0
6000,12
1500,0
1500,12
1500,24
4500,36
3000,12
1500,0
6000,0
1500,12
6000,12
1500,60
8000,0
8000,36
4500,36
8000,0
10000,36
10000,24
2000,0
2000,36
2000,36
4500,0
2000,0
2000,0
2000,0
2000,36
15000,36
6000,0
2000,36
4500,36
6000,12
2000,36
4500,36
6000,24
8000,12
6000,12
4500,24
4500,24
4500,12
8000,24
8000,24
4500,0
4500,36
4500,36
2000,12
4500,36
2000,0
4500,12
4500,12
4500,0
8000,60
4500,24
6000,12
4500,12
4500,12
8000,12
10000,36
6000,36
6000,36
6000,36
4500,36
10000,0
3000,0
3000,0
3000,0
3000,0
3000,0
3000,0
8000,0
4500,0
4500,0
2000,36
6000,0
6000,0
6000,0
6000,0
4500,12
4500,0
4500,12
4500,12
8000,36
6000,0
4500,0
4500,0
6000,24
10000,0
8000,36
8000,36
8000,36
15000,24
4500,12
6000,0
6000,0
4500,0
4500,0
4500,0
4500,0
4500,0
4500,0
4500,0
4500,0
4500,0
4500,0
15000,60
4500,0
4500,0
4500,0
4500,0
4500,0
4500,0
4500,0
4500,0
6000,0
4500,12
4500,0
4500,12
4500,0
4500,0
4500,0
10000,36
10000,24
4500,0
4500,0
4500,0
4500,0
4500,0
4500,0
4500,0
4500,0
4500,0
4500,24
4500,0
4500,0
4500,0
4500,12
4500,12
4500,0
4500,0
4500,0
4500,0
4500,0
4500,0
6000,0
4500,0
6000,0
4500,0
10000,60
4500,0
4500,0
10000,36
6000,0
6000,12
6000,0
6000,12
6000,36
10000,36
8000,36
15000,36
10000,0
4500,0
1500,36
8000,0
1500,0
8000,0
8000,0
4500,12
1500,36
8000,24
8000,24
8000,12
8000,24
4500,24
1500,12
1500,0
1500,24
3000,12
1500,12
6000,24
6000,24
3000,36
4500,0
4500,0
4500,24
4500,0
3000,12
10000,36
6000,0
10000,0
3000,24
4500,12
6000,36
10000,36
6000,0
8000,0
6000,0
10000,0
8000,60
4500,12
3000,12
15000,24
10000,24
15000,24
10000,60
8000,36
2000,0
8000,36
10000,0
15000,0
10000,60
8000,36
10000,36
10000,12
10000,0
10000,0
15000,36
10000,36
15000,36
15000,36
8000,36
8000,24
2000,0
15000,0
4500,12
10000,24
10000,0
4500,0
4500,0
8000,12
6000,0
6000,0
10000,0
4500,0
4500,12
4500,0
4500,0
4500,12
8000,0
4500,0
6000,0
6000,0
8000,0
6000,0
4500,0
8000,12
6000,12
10000,0
6000,0
2000,0
6000,0
4500,12
6000,12
6000,0
4500,0
4500,0
15000,60
4500,12
6000,12
6000,12
6000,0
8000,36
6000,0
4500,0
10000,0
6000,24
4500,36
2000,12
4500,12
6000,12
6000,12
2000,0
3000,0
15000,36
10000,24
8000,12
8000,12
6000,0
6000,12
4500,12
3000,24
4500,0
4500,0
6000,0
10000,12
6000,12
4500,0
4500,0
8000,0
4500,36
4500,0
1500,24
6000,0
15000,96
6000,24
4500,0
4500,12
6000,12
6000,0
8000,24
6000,24
15000,24
2000,12
6000,12
10000,0
10000,36
8000,36
8000,0
10000,12
4500,12
10000,36
6000,0
8000,24
4500,12
4500,0
10000,12
8000,12
10000,0
15000,0
10000,12
10000,24
4500,0
10000,0
8000,0
8000,0
6000,0
15000,0
10000,0
10000,0
15000,0
15000,0
6000,0
10000,36
10000,0
8000,0
10000,0
10000,24
3000,12
4500,0
3000,12
6000,24
2000,0
6000,12
2000,0
1500,0
1500,36
1500,24
1500,96
1500,60
1500,12
1500,0
